patch,champion_name,team_position,games_played,win_rate,avg_kda,avg_cs_min,avg_damage,avg_kills,avg_deaths,avg_assists,pick_rate
16.12,Quinn,TOP,15,60.0,3.14,6.8,27926.0,9.4,7.5,8.2,2.1
16.12,Lillia,JUNGLE,15,46.7,5.67,7.1,28609.0,7.1,5.1,9.5,2.1
16.12,Nilah,BOTTOM,14,57.1,3.17,7.6,18672.0,8.1,7.2,6.3,1.9
16.12,Poppy,TOP,14,64.3,3.98,7.2,23736.0,5.1,4.1,6.1,1.9
16.12,Rammus,JUNGLE,14,50.0,7.0,7.0,10254.0,2.9,3.5,9.1,1.9
16.12,Volibear,TOP,14,71.4,1.35,7.8,25171.0,5.1,7.8,4.4,1.9
16.12,Cassiopeia,TOP,14,21.4,2.03,7.5,20116.0,5.6,6.4,3.8,1.9
16.12,Katarina,BOTTOM,14,57.1,3.18,6.7,25364.0,10.7,6.6,6.4,1.9
16.12,Nocturne,JUNGLE,14,35.7,4.17,6.7,19895.0,7.4,5.5,8.8,1.9
16.12,Shen,TOP,14,35.7,4.2,6.1,15900.0,3.8,4.1,8.1,1.9
16.12,Veigar,BOTTOM,14,50.0,3.48,8.0,23426.0,6.4,4.6,7.0,1.9
16.12,Olaf,TOP,14,21.4,1.68,7.7,20973.0,5.3,7.1,3.1,1.9
16.12,TwistedFate,TOP,14,42.9,2.18,6.5,16401.0,5.1,5.1,4.2,1.9
16.12,Mordekaiser,TOP,13,61.5,2.67,7.5,21616.0,4.8,5.8,2.8,1.8
16.12,Jayce,JUNGLE,13,53.8,3.29,7.7,20779.0,6.6,5.0,6.3,1.8
16.12,Kindred,JUNGLE,13,23.1,2.51,6.2,19736.0,5.7,6.5,5.4,1.8
16.12,Blitzcrank,UTILITY,13,46.2,3.31,0.9,7941.0,1.4,6.8,13.3,1.8
16.12,Vladimir,BOTTOM,13,92.3,6.39,8.2,22447.0,6.0,3.5,7.8,1.8
16.12,Kayle,MIDDLE,12,16.7,1.18,8.3,14420.0,3.1,6.1,2.4,1.7
16.12,Singed,TOP,12,41.7,4.05,8.5,15563.0,3.3,4.3,5.0,1.7
16.12,Zyra,UTILITY,12,58.3,2.43,1.5,20588.0,4.0,8.1,14.0,1.7
16.12,Lissandra,TOP,12,41.7,2.27,7.9,22464.0,4.4,7.3,6.3,1.7
16.12,Cassiopeia,BOTTOM,12,41.7,3.86,8.1,21279.0,7.1,5.2,6.8,1.7
16.12,Qiyana,MIDDLE,12,16.7,1.84,6.9,21455.0,6.2,6.1,3.3,1.7
16.12,Nunu,JUNGLE,11,54.5,4.17,6.0,15397.0,4.5,7.5,14.3,1.5
16.12,Jayce,MIDDLE,11,36.4,5.6,8.5,23597.0,6.8,4.7,4.5,1.5
16.12,Taliyah,JUNGLE,11,36.4,3.43,7.1,16955.0,5.3,5.5,8.5,1.5
16.12,Smolder,BOTTOM,11,63.6,3.66,7.9,29264.0,7.4,6.2,8.4,1.5
16.12,Velkoz,UTILITY,11,36.4,3.46,1.6,23111.0,5.5,7.1,13.1,1.5
16.12,AurelionSol,BOTTOM,11,36.4,2.64,7.3,21964.0,5.9,6.7,9.1,1.5
16.12,Illaoi,TOP,11,27.3,1.06,7.8,19369.0,3.3,6.7,2.2,1.5
16.12,Hwei,UTILITY,11,45.5,5.54,1.6,22430.0,5.1,7.0,14.1,1.5
16.12,Briar,JUNGLE,11,36.4,5.82,6.7,25257.0,10.3,5.4,6.9,1.5
16.12,Zed,TOP,10,50.0,1.73,6.9,22217.0,4.8,5.2,3.7,1.4
16.12,Ziggs,MIDDLE,10,10.0,4.63,7.6,31100.0,5.7,4.5,8.1,1.4
16.12,Zyra,BOTTOM,10,40.0,3.14,7.4,37082.0,7.2,6.5,9.2,1.4
16.12,Yasuo,BOTTOM,10,50.0,3.89,7.8,14501.0,5.0,5.4,6.1,1.4
16.12,Syndra,BOTTOM,10,40.0,6.36,8.6,19363.0,5.8,4.4,6.0,1.4
16.12,Urgot,TOP,10,60.0,2.09,7.4,18828.0,5.1,5.4,4.6,1.4
16.12,Mel,UTILITY,10,40.0,3.62,1.8,17116.0,6.1,7.3,7.5,1.4
16.12,Kled,TOP,10,30.0,1.68,6.5,18967.0,4.6,6.3,5.3,1.4
16.12,Tristana,MIDDLE,10,60.0,2.52,8.5,28626.0,9.7,6.6,5.2,1.4
16.12,Swain,TOP,9,66.7,10.6,7.3,27104.0,4.9,4.2,11.6,1.3
16.12,AurelionSol,MIDDLE,9,44.4,3.92,7.3,24201.0,6.2,4.9,8.1,1.3
16.12,Jax,JUNGLE,9,55.6,3.45,6.2,15819.0,6.1,6.1,7.2,1.3
16.12,Malzahar,MIDDLE,8,12.5,1.35,8.4,20072.0,2.6,6.8,5.1,1.1
16.12,Zyra,JUNGLE,8,87.5,5.14,7.7,22100.0,4.9,4.1,13.6,1.1
16.12,Kayle,TOP,8,62.5,3.39,7.9,23256.0,3.8,5.8,7.3,1.1
16.12,Zilean,TOP,8,62.5,5.07,6.5,16241.0,2.9,3.4,12.0,1.1
16.12,Corki,BOTTOM,8,75.0,3.57,8.4,37075.0,11.5,7.0,10.1,1.1
16.12,Nidalee,TOP,8,75.0,1.51,6.5,27871.0,7.4,8.6,5.9,1.1
16.12,Skarner,JUNGLE,8,37.5,7.89,6.2,20545.0,6.1,4.3,12.0,1.1
16.12,Zoe,UTILITY,8,62.5,2.41,1.5,17721.0,3.5,7.4,10.0,1.1
16.12,Malphite,MIDDLE,8,50.0,4.19,6.7,22843.0,5.3,6.4,11.1,1.1
16.12,Olaf,JUNGLE,8,50.0,4.61,7.2,20680.0,6.4,5.8,7.3,1.1
16.12,Gragas,JUNGLE,7,57.1,2.73,7.6,20512.0,5.9,5.6,7.9,1.0
16.12,Katarina,UTILITY,7,57.1,4.56,2.0,27990.0,10.7,6.6,10.3,1.0
16.12,Ahri,TOP,7,71.4,4.26,6.9,22409.0,9.6,5.3,7.6,1.0
16.12,Sett,TOP,7,28.6,1.69,6.4,29794.0,7.3,8.3,5.7,1.0
16.12,Samira,BOTTOM,7,28.6,2.03,6.5,27963.0,10.4,9.7,7.3,1.0
16.12,Chogath,TOP,7,71.4,5.6,7.8,21969.0,6.6,3.9,5.9,1.0
16.12,Hwei,TOP,7,71.4,1.98,6.8,20343.0,4.0,5.7,5.9,1.0
16.12,Ezreal,TOP,7,42.9,3.31,7.7,30106.0,7.6,5.3,6.1,1.0
16.12,Heimerdinger,TOP,7,57.1,1.37,7.7,23253.0,4.3,6.3,3.7,1.0
16.12,Vex,MIDDLE,7,71.4,3.82,6.9,22638.0,6.7,6.4,10.0,1.0
16.12,Singed,MIDDLE,7,57.1,5.34,7.8,22043.0,5.4,5.6,10.0,1.0
16.12,Elise,JUNGLE,7,71.4,6.97,7.3,17305.0,6.9,4.6,8.4,1.0
16.12,Veigar,MIDDLE,7,57.1,2.87,8.2,22727.0,5.7,6.1,7.6,1.0
16.12,Udyr,JUNGLE,7,42.9,4.3,7.3,22850.0,7.6,5.0,9.7,1.0
16.12,Viktor,BOTTOM,6,66.7,2.9,8.0,27587.0,6.8,5.2,7.2,0.8
16.12,Naafiri,BOTTOM,6,33.3,3.68,7.5,19821.0,7.0,5.3,7.5,0.8
16.12,Qiyana,TOP,6,83.3,5.88,9.0,18593.0,6.0,2.3,3.5,0.8
16.12,Warwick,JUNGLE,6,33.3,2.29,6.5,17331.0,6.8,8.3,8.3,0.8
16.12,TahmKench,UTILITY,6,33.3,3.18,1.2,12839.0,2.2,6.3,11.7,0.8
16.12,Swain,UTILITY,6,0.0,1.58,1.7,15042.0,2.5,9.7,11.2,0.8
16.12,Sion,MIDDLE,6,16.7,1.65,8.1,15925.0,1.5,3.7,4.7,0.8
16.12,Shen,UTILITY,6,50.0,3.18,1.1,10565.0,1.2,5.8,15.2,0.8
16.12,Shaco,UTILITY,6,0.0,1.28,1.4,14053.0,2.0,7.7,7.0,0.8
16.12,Brand,UTILITY,6,50.0,2.4,2.0,20239.0,3.2,7.0,10.8,0.8
16.12,Zac,MIDDLE,6,50.0,6.54,6.2,29473.0,8.0,5.0,13.5,0.8
16.12,Sylas,TOP,6,66.7,4.95,5.8,25749.0,8.7,5.2,10.3,0.8
16.12,Pantheon,JUNGLE,6,50.0,4.81,6.4,23589.0,9.2,5.5,10.0,0.8
16.12,XinZhao,TOP,6,66.7,2.44,7.4,28280.0,8.2,6.2,5.7,0.8
16.12,Zilean,MIDDLE,5,80.0,12.9,7.5,20331.0,2.6,1.6,17.4,0.7
16.12,Mordekaiser,JUNGLE,5,60.0,2.22,5.6,18248.0,8.2,6.6,5.4,0.7
16.12,Lulu,TOP,5,60.0,3.03,5.5,21793.0,5.6,4.8,7.6,0.7
16.12,Katarina,TOP,5,80.0,2.23,6.3,19405.0,8.4,7.4,3.6,0.7
16.12,Tryndamere,TOP,5,20.0,1.34,7.8,18980.0,5.0,8.6,3.8,0.7
16.12,Akshan,TOP,5,60.0,2.07,7.2,19128.0,4.6,5.6,5.0,0.7
16.12,Renata,UTILITY,5,40.0,3.63,1.0,9627.0,2.6,5.8,14.6,0.7
16.12,Gwen,MIDDLE,5,40.0,2.03,7.9,16736.0,5.4,5.0,2.6,0.7
16.12,Swain,BOTTOM,5,60.0,3.07,6.8,19862.0,6.8,5.0,8.6,0.7
16.12,Velkoz,MIDDLE,5,20.0,3.06,7.5,34192.0,9.6,6.4,9.4,0.7
16.12,Pantheon,MIDDLE,5,40.0,2.54,5.7,20833.0,6.2,7.0,7.2,0.7
16.12,Malphite,JUNGLE,5,60.0,2.26,6.7,7933.0,3.4,4.0,3.6,0.7
16.12,Tryndamere,MIDDLE,5,60.0,4.0,7.0,28010.0,7.0,6.6,9.6,0.7
16.12,Ambessa,MIDDLE,5,40.0,1.97,7.3,21839.0,7.2,6.8,4.2,0.7
16.12,Naafiri,TOP,5,40.0,1.81,7.1,16212.0,5.4,5.4,3.2,0.7
16.12,Heimerdinger,UTILITY,5,40.0,2.54,2.4,12701.0,2.0,6.2,8.4,0.7
16.12,Zaahen,JUNGLE,5,40.0,2.5,6.2,13839.0,6.0,4.6,5.4,0.7
16.12,Taric,UTILITY,5,60.0,4.38,1.4,5401.0,1.4,5.0,15.6,0.7
16.11,Riven,TOP,13,46.2,2.25,7.6,24804.0,5.8,6.3,5.2,22.4
16.11,Ezreal,BOTTOM,11,45.5,3.3,8.1,30816.0,7.9,5.1,7.2,19.0
16.11,Sona,UTILITY,11,54.5,6.0,1.0,11384.0,2.2,5.6,16.5,19.0
16.11,LeeSin,JUNGLE,10,60.0,4.32,6.7,23037.0,9.6,6.0,9.9,17.2
16.11,Senna,BOTTOM,10,50.0,3.63,7.0,19597.0,4.3,5.1,9.8,17.2
16.11,Lucian,BOTTOM,9,33.3,2.83,8.1,32226.0,7.6,6.4,6.8,15.5
16.11,Ahri,MIDDLE,9,55.6,5.69,7.3,21176.0,6.3,3.9,6.4,15.5
